GeneID,MOs,MOsID,SedRed,Duck,Cost,sedbcr,duckbcr,FID_1,Subbasin,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed
50,TLMO,112,0.012,0,25.256,0.475134621,0,472,1,3,176728.7007,2357824.681,4,1,3,LES
51,TLMO,113,0.1037,0,74.8823,1.384839942,0,3450,9,2,188110.288,2357804.74,5,9,2,LES
52,TLMO,115,0.1419,0,96.7646,1.466445374,0,3451,9,2,183759.9285,2357900.003,6,9,2,LES
53,TLMO,116,0.0739,0,41.031,1.801077234,0,3452,9,2,183724.5509,2357774.195,17,9,2,LES
54,TLMO,117,0.0093,0,6.6718,1.393926676,0,3453,9,2,190415.0908,2357692.162,5,9,2,LES
55,TLMO,118,0.0034,0,2.2841,1.488551289,0,474,1,3,169640.7061,2357661.547,2,1,3,LES
56,TLMO,119,0.0178,0,7.4009,2.405112892,0,475,1,3,173254.491,2357640.892,22,1,3,LES
57,TLMO,120,2.1802,0,1487.276,1.46590142,0,3454,9,2,183048.6557,2357959.606,6,9,2,LES
58,TLMO,122,0.7284,0,404.2892,1.801680579,0,3456,9,2,183200.152,2357700.423,17,9,2,LES
59,TLMO,125,0.0638,0,46.0642,1.385023511,0,3457,9,2,188145.8376,2357670.092,5,9,2,LES
60,TLMO,126,0.2536,0,83.1887,3.048490961,0,3458,9,2,188148.9867,2357545.124,14,9,2,LES
61,TLMO,127,0.5533,0,1169.4666,0.473121678,0,478,1,3,177018.7036,2357744.797,4,1,3,LES
62,TLMO,128,0.0026,0,45.4,0.057268722,0,479,1,3,176774.2342,2357448.574,9,1,3,LES
63,TLMO,129,0.1124,0,81.124,1.385533258,0,3459,9,2,188462.5417,2357598.154,5,9,2,LES
64,TLMO,130,0.4377,0,143.5801,3.048472595,0,3460,9,2,188398.0495,2357489.715,14,9,2,LES
65,TLMO,132,1.2149,0,877.1838,1.385000498,0,3461,9,2,188994.8601,2357556.058,5,9,2,LES
66,TLMO,133,0.1838,0,60.2825,3.04897773,0,3462,9,2,188696.5827,2357395.884,14,9,2,LES
67,TLMO,136,0.0102,0,3.3359,3.057645613,0,3464,9,2,189530.0908,2357302.162,14,9,2,LES
68,TLMO,139,0.0008,0,13.3437,0.059953386,0,483,1,3,175790.0908,2357287.162,9,1,3,LES
69,TLMO,145,0.0115,0,200.7626,0.057281585,0,488,1,3,175935.2761,2357287.585,9,1,3,LES
70,TLMO,146,0.0075,0,10.3647,0.723609945,0,489,1,3,175873.8572,2357153.848,43,1,3,LES
71,TLMO,148,0.0498,0,63.042,0.789949557,0,491,1,3,166571.4219,2357377.122,10,1,3,LES
72,TLMO,149,0.0189,0,137.7704,0.137184765,0,492,1,3,166503.0125,2357263.477,13,1,3,LES
73,TLMO,150,0.4905,0,160.8728,3.048992745,0,3467,9,2,186462.9542,2357107.007,14,9,2,LES
74,TLMO,151,0.004,0,69.264,0.057750058,0,493,1,3,176434.0256,2357078.077,9,1,3,LES
75,TLMO,152,0.014,0,19.3548,0.72333478,0,494,1,3,176377.3307,2357035.518,43,1,3,LES
76,TLMO,153,0.0073,0,15.4878,0.471338731,0,495,1,3,176997.5022,2357381.846,4,1,3,LES
77,TLMO,154,0.0285,0,498.6107,0.057158822,0,496,1,3,176835.6564,2357191.274,9,1,3,LES
78,TLMO,155,0.0306,0,42.3329,0.722842045,0,497,1,3,176726.0019,2357024.33,43,1,3,LES
79,TLMO,156,2.0673,0,862.0621,2.398087098,0,498,1,3,172066.093,2357266.306,22,1,3,LES
80,TLMO,160,2.9337,0,2008.1035,1.460930674,0,501,1,3,170033.8551,2358076.698,2,1,3,LES
81,TLMO,161,6.8188,0,3430.4131,1.987748939,0,502,1,3,170456.5407,2357338.676,11,1,3,LES
82,TLMO,163,0.2294,0,87.9278,2.608958714,0,3470,9,2,185486.9862,2357093.947,7,9,2,LES
83,TLMO,164,0.27,0,88.5417,3.049410617,0,3471,9,2,185684.4582,2357030.016,14,9,2,LES
84,TLMO,165,0.5396,0,299.517,1.80156719,0,3472,9,2,185511.571,2356953.74,17,9,2,LES
85,TLMO,166,0.0066,0,3.3359,1.978476573,0,503,1,3,169850.0908,2356762.162,11,1,3,LES
86,TLMO,167,0.328,0,693.1613,0.473194334,0,504,1,3,177762.3301,2357241.861,4,1,3,LES
87,TLMO,168,0.2489,0,216.8596,1.147747206,0,3473,9,2,178418.9802,2357785.078,8,1,2,LES
88,TLMO,169,1.5341,0,629.0836,2.438626599,0,3474,9,2,178210.4701,2357523.13,15,1,2,LES
89,TLMO,171,0.2177,0,89.2629,2.438863178,0,3476,9,2,180767.1111,2356767.665,15,1,2,LES
90,TLMO,172,7.8609,0,6850.7199,1.147456051,0,3477,9,2,181598.117,2357797.673,8,1,2,LES
91,TLMO,173,0.9881,0,405.1771,2.438686688,0,3478,9,2,180579.6479,2357223.143,15,1,2,LES
92,TLMO,174,0.476,0,1028.0247,0.463023894,0,3479,9,2,182332.8183,2357162.891,16,9,2,LES
93,TLMO,175,0.0285,0,19.4536,1.465024468,0,3480,9,2,184126.5111,2357657.713,17,9,2,LES
94,TLMO,176,0.2921,0,630.9416,0.462958854,0,3481,9,2,182930.4612,2357052.21,16,9,2,LES
95,TLMO,177,5.6833,0,3154.6242,1.801577506,0,3482,9,2,183547.2268,2357296.805,17,9,2,LES
96,TLMO,179,1.0607,0,434.9565,2.438634668,0,3483,9,2,178385.2951,2356771.637,15,1,2,LES
97,TLMO,184,0.0206,0,360.257,0.057181401,0,510,1,3,173744.9636,2357019.345,9,1,3,LES
98,TLMO,185,1.5925,0,787.3897,2.022505501,0,511,1,3,173760.7113,2356730.192,26,1,3,LES
99,TLMO,193,0.006,0,3.3359,1.798615066,0,3488,9,2,184730.0908,2356432.162,17,9,2,LES
100,TLMO,194,0.0206,0,150.5388,0.136841798,0,515,1,3,165298.8077,2357562.027,13,1,3,LES
101,TLMO,195,0.0031,0,6.6718,0.464642225,0,3489,9,2,182645.0908,2356402.162,16,9,2,LES
102,TLMO,196,0.8408,0,1063.9187,0.790285949,0,516,1,3,166325.7516,2358276.442,10,1,3,LES
103,TLMO,197,0.5452,0,3981.8305,0.136921951,0,517,1,3,165885.2798,2357636.348,13,1,3,LES
104,TLMO,198,0.0246,0,31.1375,0.790044159,0,518,1,3,167720.2838,2356416.289,10,1,3,LES
105,TLMO,199,0.0027,0,19.4507,0.138812485,0,519,1,3,167624.7082,2356410.117,13,1,3,LES
106,TLMO,200,0.0178,0,8.7802,2.027288672,0,520,1,3,174108.6013,2356346.084,26,1,3,LES
107,TLMO,204,2.0731,0,1496.7772,1.385042477,0,3492,9,2,191184.896,2357742.216,5,9,2,LES
108,TLMO,205,0.0135,0,6.6718,2.02344195,0,522,1,3,174185.0908,2356222.162,26,1,3,LES
109,TLMO,209,7.034,0,2307.2392,3.048665262,0,3494,9,2,187440.5997,2357216.13,20,9,2,LES
110,TLMO,210,28.3934,0,3391.3243,8.372363563,0,3495,9,2,187643.7782,2356790.345,20,9,2,LES
111,TLMO,211,0.0059,0,4.2708,1.381474197,0,3496,9,2,189464.1416,2357232.809,14,9,2,LES
112,TLMO,212,14.2304,0,4667.7617,3.048656061,0,3497,9,2,188970.1009,2356839.624,14,9,2,LES
113,TLMO,213,6.5986,0,788.1381,8.372390575,0,3498,9,2,188683.364,2356292.809,20,9,2,LES
114,TLMO,217,5.1163,0,1678.2167,3.048652775,0,3499,9,2,186326.5647,2356484.755,14,9,2,LES
115,TLMO,218,3.6432,0,2022.2617,1.801547248,0,3500,9,2,185540.2859,2356413.171,17,9,2,LES
116,TLMO,219,0.2546,0,92.5839,2.749938164,0,3501,9,2,186575.2212,2356114.823,18,9,2,LES
117,TLMO,220,0.0686,0,38.0576,1.802530901,0,3502,9,2,185165.6555,2356046.483,17,9,2,LES
118,TLMO,224,0.1972,0,80.8413,2.439347215,0,3504,9,2,179239.4938,2356029.03,15,1,2,LES
119,TLMO,225,0.007,0,15.0995,0.46359151,0,3505,9,2,181774.8334,2355987.634,16,9,2,LES
120,TLMO,226,0.4642,0,1002.7117,0.462944633,0,3506,9,2,182306.6099,2356274.685,16,9,2,LES
121,TLMO,227,0.252,0,233.9126,1.077325463,0,3507,9,2,182335.8003,2356026.57,19,9,2,LES
122,TLMO,228,0.6994,0,83.5345,8.372588571,0,3508,9,2,190466.1278,2356050.218,20,9,2,LES
123,TLMO,229,1.217,0,499.0516,2.438625585,0,3509,9,2,181372.9404,2356175.863,15,1,2,LES
124,TLMO,230,0.047,0,101.4207,0.463416245,0,3510,9,2,181644.0045,2356092.975,16,9,2,LES
125,TLMO,231,0.2327,0,215.9895,1.077367187,0,3511,9,2,181453.6201,2355983.305,19,9,2,LES
126,TLMO,232,0.1725,0,372.6082,0.462952775,0,3512,9,2,182785.6256,2356275.349,16,9,2,LES
127,TLMO,233,0.0191,0,2.2841,8.362155773,0,3513,9,2,189169.4756,2355891.547,20,9,2,LES
128,TLMO,235,0.0489,0,45.4264,1.076466548,0,3515,9,2,181285.1573,2355847.374,19,9,2,LES
129,TLMO,237,0.6528,0,77.9717,8.3722684,0,3517,9,2,190475.9432,2355862.762,20,9,2,LES
130,TLMO,238,0.0041,0,2.2841,1.795017731,0,3518,9,2,184820.7061,2355712.777,17,9,2,LES
131,TLMO,242,0.0617,0,133.1725,0.463308866,0,3521,9,2,181839.5391,2355819.343,16,9,2,LES
132,TLMO,243,0.0823,0,76.4239,1.076888251,0,3522,9,2,181839.2069,2355665.955,19,9,2,LES
133,TLMO,245,1.0769,0,938.5374,1.14742364,0,3523,9,2,180051.7843,2358050.066,8,1,2,LES
134,TLMO,246,21.0197,0,8619.7866,2.438540648,0,3524,9,2,179450.9321,2356755.729,15,1,2,LES
135,TLMO,252,0.1961,0,1432.4415,0.136899133,0,534,1,3,166413.9585,2355877.382,13,1,3,LES
136,TLMO,253,25.3319,0,3025.6621,8.372349312,0,3528,9,2,189651.2008,2355749.098,20,9,2,LES
137,TLMO,254,1.0789,0,1365.2351,0.790266819,0,535,1,3,166998.9819,2357360.552,10,1,3,LES
138,TLMO,255,0.3616,0,2640.9787,0.136918938,0,536,1,3,166988.7525,2356234.57,13,1,3,LES
139,TLMO,256,6.4161,0,866.5095,7.404535092,0,537,1,3,167329.5086,2355521.446,24,1,3,LES
140,TLMO,257,1.5753,0,572.9166,2.749614865,0,3529,9,2,187162.5768,2356114.2,18,9,2,LES
141,TLMO,258,33.8127,0,4038.6095,8.372361824,0,3530,9,2,188158.1276,2355766.087,20,9,2,LES
142,TLMO,262,0.1274,0,176.2485,0.722843031,0,538,1,3,175862.0395,2355378.908,43,1,3,LES
143,TLMO,266,0.6342,0,351.9956,1.801727067,0,3533,9,2,184289.2437,2355361.93,17,9,2,LES
144,TLMO,269,0.0928,0,128.3456,0.723047771,0,541,1,3,176106.0611,2355155.797,43,1,3,LES
145,TLMO,271,5.466,0,3034.0215,1.801569303,0,3536,9,2,185235.8503,2355686.163,17,9,2,LES
146,TLMO,272,0.723,0,262.9269,2.749813731,0,3537,9,2,186239.3529,2355653.498,18,9,2,LES
147,TLMO,273,1.9262,0,833.9279,2.30979201,0,3538,9,2,185863.3872,2355453.773,23,9,2,LES
148,TLMO,274,0.9215,0,1947.6911,0.473124306,0,542,1,3,177469.8128,2356291.943,4,1,3,LES
149,TLMO,275,0.0066,0,114.8625,0.057460007,0,543,1,3,177128.3316,2357077.551,9,1,3,LES
150,TLMO,277,3.4519,0,793.5795,4.349784741,0,3540,9,2,177764.0523,2355504.183,31,1,2,LES
151,TLMO,278,1.4239,0,1970.33,0.722670822,0,544,1,3,177278.7603,2355782.776,43,1,3,LES
152,TLMO,282,1.0521,0,520.2208,2.022410484,0,546,1,3,174937.7936,2355370.623,26,1,3,LES
153,TLMO,283,1.0331,0,1429.5827,0.722658437,0,547,1,3,175164.8192,2355557.322,43,1,3,LES
154,TLMO,285,0.042,0,90.658,0.463279578,0,3544,9,2,182761.5383,2355829.678,16,9,2,LES
155,TLMO,286,2.2938,0,2129.4487,1.077180211,0,3545,9,2,182405.9773,2355477.592,19,9,2,LES
156,TLMO,292,0.0119,0,208.3851,0.05710581,0,553,1,3,173300.1925,2357975.508,9,1,3,LES
157,TLMO,293,0.0047,0,2.364,1.988155668,0,554,1,3,171494.6302,2356401.63,11,1,3,LES
158,TLMO,294,36.1643,0,15080.7408,2.398045327,0,555,1,3,172435.1326,2356294.812,22,1,3,LES
159,TLMO,295,0.0984,0,13.2841,7.407351646,0,556,1,3,171537.6295,2355374.774,24,1,3,LES
160,TLMO,296,0.0787,0,38.9087,2.022683873,0,557,1,3,173043.8104,2355371.993,26,1,3,LES
161,TLMO,297,2.774,0,374.6327,7.404585878,0,558,1,3,168301.393,2354971.652,24,1,3,LES
162,TLMO,298,0.2268,0,43.095,5.262791507,0,559,1,3,168194.129,2354897.817,24,1,3,LES
163,TLMO,299,3.1662,0,707.8036,4.47327479,0,560,1,3,168889.1738,2358700.401,1,1,3,LES
164,TLMO,300,6.9205,0,4737.1022,1.460914227,0,561,1,3,169124.9263,2357927.195,2,1,3,LES
165,TLMO,301,0.3162,0,400.1142,0.790274377,0,562,1,3,168198.5618,2356979.18,10,1,3,LES
166,TLMO,302,9.4124,0,4735.2142,1.987745348,0,563,1,3,169280.0687,2356823.774,11,1,3,LES
167,TLMO,303,28.5745,0,3859.0471,7.404548133,0,564,1,3,169426.9228,2355565.536,24,1,3,LES
168,TLMO,304,7.3268,0,3686.0197,1.987726761,0,565,1,3,170622.5562,2356480.631,11,1,3,LES
169,TLMO,305,4.8913,0,2039.6971,2.398052142,0,566,1,3,171214.0957,2355564.149,22,1,3,LES
170,TLMO,306,36.9757,0,4993.6498,7.404544067,0,567,1,3,170557.6324,2355501.753,24,1,3,LES
171,TLMO,307,0.014,0,2.6607,5.261773218,0,568,1,3,166371.9607,2354809.824,35,1,3,LES
172,TLMO,308,0.011,0,2.0883,5.267442417,0,569,1,3,166340.3788,2354784.096,35,1,3,LES
173,TLMO,309,1.2106,0,163.4866,7.404888229,0,570,1,3,167766.6511,2355110.22,24,1,3,LES
174,TLMO,310,1.5364,0,291.954,5.262472855,0,571,1,3,167631.7458,2354976.571,35,1,3,LES
175,TLMO,311,0.0512,0,16.6796,3.069617976,0,3546,9,2,190657.0908,2354819.162,36,9,2,LES
176,TLMO,312,0.0411,0,13.3776,3.072299964,0,3547,9,2,192552.3647,2354694.664,36,9,2,LES
177,TLMO,313,0.0176,0,3.3359,5.275937528,0,572,1,3,165800.0908,2354662.162,35,1,3,LES
178,TLMO,314,0.0351,0,6.6718,5.260949069,0,573,1,3,167855.0908,2354662.162,35,1,3,LES
179,TLMO,319,0.7207,0,997.2252,0.722705363,0,577,1,3,177530.5125,2354794.74,43,1,3,LES
180,TLMO,320,0.0176,0,3.3359,5.275937528,0,578,1,3,166850.0908,2354602.162,35,1,3,LES
181,TLMO,323,4.0903,0,5660.05,0.722661461,0,581,1,3,176718.9724,2355869.142,43,1,3,LES
182,TLMO,325,2.0138,0,995.7135,2.022469315,0,582,1,3,175136.0124,2354738.045,26,1,3,LES
183,TLMO,327,0.1492,0,206.4943,0.722538104,0,584,1,3,175733.4556,2354677.68,43,1,3,LES
184,TLMO,328,0.9965,0,415.5475,2.398041138,0,585,1,3,173290.1622,2355673.51,26,1,3,LES
185,TLMO,329,14.6789,0,7257.9769,2.022450636,0,586,1,3,173882.7142,2355445.858,26,1,3,LES
186,TLMO,330,0.0569,0,78.6785,0.723196299,0,587,1,3,174630.4186,2355542.855,43,1,3,LES
187,TLMO,332,12.0592,0,4385.7345,2.74964205,0,3550,9,2,186886.3909,2355266.81,18,9,2,LES
188,TLMO,333,2.6196,0,312.884,8.372431956,0,3551,9,2,187386.8272,2355819.486,20,9,2,LES
189,TLMO,334,0.5175,0,224.0373,2.30988322,0,3552,9,2,186081.2086,2354787.06,23,9,2,LES
190,TLMO,336,0.5987,0,82.8246,7.228528722,0,1427,4,3,163812.3095,2354350.591,50,1,3,LES
191,TLMO,337,5.4268,0,2225.4477,2.438520573,0,3553,9,2,179649.5906,2355540.344,15,1,2,LES
192,TLMO,339,39.4343,0,9065.9074,4.349735582,0,3555,9,2,179092.8404,2354800.84,31,1,2,LES
193,TLMO,340,0.1669,0,230.9482,0.722672876,0,3556,9,2,178024.7069,2354874.271,43,1,3,LES
194,TLMO,341,0.2072,0,27.9851,7.403939954,0,588,1,3,169719.6849,2354210.38,24,1,3,LES
195,TLMO,342,0.0247,0,3.3359,7.40429869,0,589,1,3,169820.0908,2354182.162,24,1,3,LES
196,TLMO,344,0.0017,0,2.2841,0.744275645,0,591,1,3,175849.4756,2354182.777,43,1,3,LES
197,TLMO,345,2.3975,0,983.1576,2.438571395,0,3557,9,2,180868.7395,2355171.908,15,1,2,LES
198,TLMO,346,1.3844,0,1285.2581,1.077137736,0,3558,9,2,181401.011,2355052.944,19,9,2,LES
199,TLMO,347,0.1031,0,34.9637,2.948772584,0,3559,9,2,181549.3026,2354347.361,27,9,2,LES
200,TLMO,348,6.081,0,1398.0044,4.349771717,0,3560,9,2,181107.9992,2354633.379,31,1,2,LES
201,TLMO,351,1.6298,0,592.7102,2.749741779,0,3562,9,2,187340.0117,2354269.19,18,9,2,LES
202,TLMO,352,0.6556,0,238.4156,2.749820062,0,3563,9,2,186527.0643,2354155.021,18,9,2,LES
203,TLMO,353,1.6265,0,704.1698,2.309812207,0,3564,9,2,186204.6194,2354283.834,23,9,2,LES
204,TLMO,354,0.1235,0,16.6796,7.404254299,0,593,1,3,170216.0908,2354044.162,24,1,3,LES
205,TLMO,357,0.0215,0,2.1363,10.06412957,0,3565,9,2,188990.0908,2353999.969,38,9,2,LES
206,TLMO,358,0.0241,0,3.3359,7.224437183,0,1428,4,3,164090.0908,2353942.162,50,1,3,LES
207,TLMO,360,5.0912,0,2123.0762,2.398029802,0,597,1,3,171149.9319,2354400.578,22,1,3,LES
208,TLMO,361,10.3938,0,1403.6965,7.40459209,0,598,1,3,170410.9028,2354513.747,24,1,3,LES
209,TLMO,364,0.166,0,38.1494,4.35131352,0,3566,9,2,181435.6895,2353972.208,31,1,2,LES
210,TLMO,365,0.0241,0,3.3359,7.224437183,0,1431,4,3,163790.0908,2353882.162,50,1,3,LES
211,TLMO,366,0.4671,0,646.3726,0.722648206,0,599,1,3,176074.9134,2354292.049,43,1,3,LES
212,TLMO,367,0.0378,0,52.2407,0.723573765,0,600,1,3,176388.4106,2353990.456,43,1,3,LES
213,TLMO,369,1.7537,0,867.1325,2.022412953,0,601,1,3,175350.8632,2354258.493,26,1,3,LES
214,TLMO,370,0.2885,0,399.2462,0.722611762,0,602,1,3,175618.4603,2354234.504,43,1,3,LES
215,TLMO,374,0.0169,0,2.2841,7.398975526,0,605,1,3,170240.7061,2353792.777,24,1,3,LES
216,TLMO,375,0.0113,0,2.1363,5.289519262,0,606,1,3,167840.0908,2353759.969,35,1,3,LES
217,TLMO,376,0.0158,0,2.1363,7.395964986,0,607,1,3,170212.2832,2353762.162,24,1,3,LES
218,TLMO,377,6.7042,0,2795.7071,2.398033757,0,608,1,3,171931.9742,2354321.828,22,1,3,LES
219,TLMO,380,0.7818,0,338.4701,2.309805209,0,3569,9,2,184051.307,2354011.656,23,9,2,LES
220,TLMO,389,5.5434,0,2311.6205,2.398057986,0,611,1,3,172626.3727,2354376.975,22,1,3,LES
221,TLMO,390,2.0606,0,1018.8566,2.02246322,0,612,1,3,172916.0195,2354040.964,26,1,3,LES
222,TLMO,391,0.0717,0,13.9872,5.126115305,0,613,1,3,172636.2815,2353650.88,29,1,3,LES
223,TLMO,395,0.9719,0,420.7557,2.309891464,0,3571,9,2,184542.3425,2353789.695,23,9,2,LES
224,TLMO,398,0.0241,0,3.3359,7.224437183,0,1432,4,3,165320.0908,2353522.162,50,1,3,LES
225,TLMO,399,0.3617,0,50.0388,7.228390769,0,1433,4,3,165398.0908,2353570.162,50,1,3,LES
226,TLMO,401,7.807,0,1080.0364,7.228460078,0,1434,4,3,163913.4203,2353680.319,50,1,3,LES
227,TLMO,402,0.0435,0,10.0078,4.346609644,0,3574,9,2,181320.0908,2353502.162,31,1,2,LES
228,TLMO,403,3.0853,0,1122.0776,2.749631576,0,3575,9,2,187910.0263,2354825.548,18,9,2,LES
229,TLMO,404,19.8106,0,2366.1846,8.372381428,0,3576,9,2,188693.0522,2354866.621,20,9,2,LES
230,TLMO,405,28.1445,0,2795.9324,10.0662305,0,3577,9,2,188531.973,2354044.032,38,9,2,LES
231,TLMO,406,10.7928,0,2481.2524,4.349738866,0,3578,9,2,180789.3554,2353903.916,31,1,2,LES
232,TLMO,411,3.0039,0,690.5881,4.349770869,0,615,1,3,177838.415,2353925.167,43,1,3,LES
233,TLMO,412,4.2077,0,5822.4825,0.722664259,0,616,1,3,177079.8716,2353979.356,43,1,3,LES
234,TLMO,419,0.455,0,224.99,2.022312103,0,617,1,3,172832.406,2353384.578,26,1,3,LES
235,TLMO,420,1.4923,0,291.1201,5.126063092,0,618,1,3,172501.4178,2353401.388,29,1,3,LES
236,TLMO,421,0.4972,0,33.3321,14.91655191,0,619,1,3,172711.8298,2353312.654,30,1,3,LES
237,TLMO,423,0.0741,0,10.0078,7.404224705,0,620,1,3,170340.0908,2353272.162,24,1,3,LES
238,TLMO,426,0.0903,0,12.1969,7.403520567,0,622,1,3,170387.902,2353228.178,24,1,3,LES
239,TLMO,427,0.6163,0,256.9926,2.398123526,0,623,1,3,171021.8665,2353790.431,22,1,3,LES
240,TLMO,428,9.5863,0,1294.6535,7.404529474,0,624,1,3,170522.3272,2353639.328,24,1,3,LES
241,TLMO,429,2.4232,0,734.5171,3.299038239,0,625,1,3,170938.563,2353485.066,25,1,3,LES
242,TLMO,430,0.0473,0,14.3275,3.30134357,0,626,1,3,171070.0766,2353267.856,25,1,3,LES
243,TLMO,431,0.3765,0,156.9868,2.398290812,0,627,1,3,171381.1322,2353682.95,22,1,3,LES
244,TLMO,432,0.5789,0,175.4848,3.298861212,0,628,1,3,171260.9287,2353341.17,25,1,3,LES
